,MSFT,AAPL,NVDA,UNH,JNJ
2024-05-22,430.52,190.9,949.5,521.35,153.5
2024-05-23,427.0,186.88,1037.99,516.83,149.7
2024-05-24,430.16,189.98,1064.69,508.17,146.97
2024-05-28,430.32,189.99,1139.01,503.68,144.38
2024-05-29,429.17,190.29,1148.25,484.72,144.44
2024-05-30,414.67,191.29,1105.0,481.65,145.28
2024-05-31,415.13,192.25,1096.33,495.37,146.67
2024-06-03,413.52,194.03,1150.0,497.44,147.74
2024-06-04,416.07,194.35,1164.37,505.49,147.8
2024-06-05,424.01,195.87,1224.4,503.12,145.97
2024-06-06,424.52,194.48,1209.98,501.92,146.42
2024-06-07,423.85,196.89,1208.88,490.69,147.08
2024-06-10,427.87,193.12,121.79,495.0,147.13
2024-06-11,432.68,207.15,120.91,496.22,146.76
2024-06-12,441.06,213.07,125.2,493.07,145.41
2024-06-13,441.58,214.24,129.61,497.3,145.45
2024-06-14,442.57,212.49,131.88,497.12,145.54
2024-06-17,448.37,216.67,130.98,489.23,145.95
2024-06-18,446.34,214.29,135.58,481.05,145.65
2024-06-20,445.7,209.68,130.78,484.52,147.78
2024-06-21,449.78,207.49,126.57,482.59,148.75
2024-06-24,447.67,208.14,118.11,489.98,149.12
2024-06-25,450.95,209.07,126.09,484.5,147.19
2024-06-26,452.16,213.25,126.4,484.04,146.82
2024-06-27,452.85,214.1,123.99,486.44,145.8
2024-06-28,446.95,210.62,123.54,509.26,146.16
2024-07-01,456.73,216.75,124.3,494.65,146.44
2024-07-02,459.28,220.27,122.67,498.24,146.03
2024-07-03,460.77,221.55,128.28,489.89,145.69
2024-07-05,467.56,226.34,125.83,488.01,146.48
2024-07-08,466.24,227.82,128.2,489.34,145.48
2024-07-09,459.54,228.68,131.38,492.11,147.05
2024-07-10,466.25,232.98,134.91,500.93,149.43
2024-07-11,454.7,227.57,127.4,504.36,149.7
2024-07-12,453.55,230.54,129.24,511.53,149.88
2024-07-15,453.96,234.4,128.44,515.37,149.24
2024-07-16,449.52,234.82,126.36,548.87,151.01
2024-07-17,443.52,228.88,117.99,573.28,156.58
2024-07-18,440.37,224.18,121.09,564.34,155.42
2024-07-19,437.11,224.31,117.93,565.33,154.69
2024-07-22,442.94,223.96,123.54,558.53,154.24
2024-07-23,444.85,225.01,122.59,554.7,152.35
2024-07-24,428.9,218.54,114.25,559.75,156.28
2024-07-25,418.4,217.49,112.28,559.68,159.64
2024-07-26,425.27,217.96,113.06,569.72,160.64
2024-07-29,426.73,218.24,111.59,566.75,158.56
2024-07-30,422.92,218.8,103.73,576.33,161.33
2024-07-31,418.35,222.08,117.02,576.16,157.85
2024-08-01,417.11,218.36,109.21,572.77,160.76
2024-08-02,408.49,219.86,107.27,589.83,164.14
2024-08-05,395.15,209.27,100.45,569.96,161.25
2024-08-06,399.61,207.23,104.25,568.35,158.97
2024-08-07,398.43,209.82,98.91,566.08,158.9
2024-08-08,402.69,213.31,104.97,566.24,160.22
2024-08-09,406.02,216.24,104.75,558.76,160.62
2024-08-12,406.81,217.53,109.02,565.29,159.88
2024-08-13,414.01,221.27,116.14,574.24,158.39
2024-08-14,416.86,221.72,118.08,579.67,158.48
2024-08-15,421.03,224.72,122.86,579.61,159.09
2024-08-16,418.47,226.05,124.58,577.68,159.39
2024-08-19,421.53,225.89,130.0,578.78,159.63
2024-08-20,424.8,226.51,127.25,580.65,160.16
2024-08-21,424.14,226.4,128.5,578.07,161.43
2024-08-22,415.55,224.53,123.74,578.72,162.35
2024-08-23,416.79,226.84,129.37,584.51,164.13
2024-08-26,413.49,227.18,126.46,587.13,164.61
2024-08-27,413.84,228.03,128.3,587.35,162.95
2024-08-28,410.6,226.49,125.61,588.54,163.92
2024-08-29,413.12,229.79,117.59,591.57,164.23
2024-08-30,417.14,229.0,119.37,590.2,165.86
2024-09-03,409.44,222.77,108.0,598.68,167.16
2024-09-04,408.9,220.85,106.21,604.18,167.36
2024-09-05,408.39,222.38,107.21,595.49,164.99
2024-09-06,401.7,220.82,102.83,596.88,164.38
2024-09-09,405.72,220.91,106.47,594.1,166.61
2024-09-10,414.2,220.11,108.1,599.03,167.38
2024-09-11,423.04,222.66,116.91,589.75,164.82
2024-09-12,427.0,222.77,119.14,588.42,164.64
2024-09-13,430.59,222.5,119.1,594.32,165.52
2024-09-16,431.34,216.32,116.78,589.14,166.99
2024-09-17,435.15,216.79,115.59,577.96,167.07
2024-09-18,430.81,220.69,113.37,580.65,166.15
2024-09-19,438.69,228.87,117.87,577.07,164.82
2024-09-20,435.27,228.2,116.0,575.0,164.16
2024-09-23,433.51,226.47,116.26,573.41,163.22
2024-09-24,429.17,227.37,120.87,575.19,162.78
2024-09-25,432.11,226.37,123.51,576.31,160.6
2024-09-26,431.31,227.52,124.04,574.81,161.39
2024-09-27,428.02,227.79,121.4,581.85,161.4
2024-09-30,430.3,233.0,121.44,584.68,162.06
2024-10-01,420.69,226.21,117.0,583.3,161.99
2024-10-02,417.13,226.78,118.85,592.31,161.17
2024-10-03,416.54,225.67,122.85,592.75,160.5
2024-10-04,416.06,226.8,124.92,591.2,160.29
2024-10-07,409.54,221.69,127.72,583.56,159.53
2024-10-08,414.71,225.77,132.89,581.58,159.69
2024-10-09,417.46,229.54,132.65,591.22,160.65
2024-10-10,415.84,229.04,134.81,597.7,160.51
2024-10-11,416.32,227.55,134.8,598.05,161.46
2024-10-14,419.14,231.3,138.07,605.4,161.6
2024-10-15,418.74,233.85,131.6,556.29,164.1
2024-10-16,416.12,231.78,135.72,571.34,164.28
2024-10-17,416.72,232.15,136.93,566.03,164.47
2024-10-18,418.16,235.0,138.0,569.61,165.12
2024-10-21,418.78,236.48,143.71,571.47,162.83
2024-10-22,427.51,235.86,143.59,569.86,163.45
2024-10-23,424.6,230.76,139.56,564.64,165.86
2024-10-24,424.73,230.57,140.41,560.81,163.67
2024-10-25,428.15,231.41,141.54,564.56,160.88
2024-10-28,426.59,233.4,140.52,565.24,161.6
2024-10-29,431.95,233.67,141.25,562.13,160.09
2024-10-30,432.53,230.1,139.335,562.96,160.61
2024-10-31,406.35,225.91,132.76,564.5,159.86
2024-11-01,410.37,222.91,135.4,567.56,160.13
2024-11-04,408.46,222.01,136.05,557.77,158.24
2024-11-05,411.46,223.45,139.91,567.03,158.35
2024-11-06,420.18,222.72,145.61,596.69,157.88
2024-11-07,425.43,227.48,148.88,605.45,156.73
2024-11-08,422.54,226.96,147.63,615.81,155.47
2024-11-11,418.01,224.23,145.26,625.25,155.04
2024-11-12,423.03,224.23,148.29,614.67,152.64
2024-11-13,425.2,225.12,146.27,605.87,153.24
2024-11-14,426.89,228.22,146.76,593.15,151.87
2024-11-15,415.0,225.0,141.98,592.23,154.0
2024-11-18,415.76,228.02,140.15,589.65,154.77
2024-11-19,417.79,228.28,147.01,577.0,153.0
2024-11-20,415.49,229.0,145.89,600.5,153.11
2024-11-21,412.87,228.52,146.67,597.49,155.5
2024-11-22,417.0,229.87,141.95,590.87,155.17
2024-11-25,418.79,232.87,136.02,605.83,155.78
2024-11-26,427.99,235.06,136.92,606.79,154.52
2024-11-27,422.99,234.93,135.34,608.38,155.4
2024-11-29,423.46,237.33,138.25,610.2,155.01
2024-12-02,430.98,239.59,138.63,608.52,154.8
2024-12-03,431.2,242.65,140.26,605.23,152.36
2024-12-04,437.42,243.01,145.14,610.79,150.47
2024-12-05,442.62,243.04,145.06,578.97,149.52
2024-12-06,443.57,242.84,142.44,549.62,149.31
2024-12-09,446.02,246.75,138.81,560.62,149.6
2024-12-10,443.33,247.77,135.07,565.19,149.23
2024-12-11,448.99,246.49,139.31,533.53,146.64
2024-12-12,449.56,247.96,137.34,515.76,146.24
2024-12-13,447.27,248.13,134.25,520.48,146.62
2024-12-16,451.59,251.04,132.0,498.5,143.85
2024-12-17,454.46,253.48,130.39,485.52,146.41
2024-12-18,437.39,248.05,128.91,499.72,144.75
2024-12-19,437.03,249.79,130.68,489.25,143.58
2024-12-20,436.6,254.49,134.7,500.13,144.47
2024-12-23,435.25,255.27,139.67,506.34,145.27
2024-12-24,439.33,258.2,140.22,506.1,145.85
2024-12-26,438.11,259.02,139.93,511.15,145.58
2024-12-27,430.53,255.59,137.01,509.99,145.05
2024-12-30,424.83,252.2,137.49,507.8,143.34
2024-12-31,421.5,250.42,134.29,505.86,144.62
2025-01-02,418.58,243.85,138.31,504.51,144.02
2025-01-03,423.35,243.36,144.47,513.0,144.19
2025-01-06,427.85,245.0,149.43,513.67,143.66
2025-01-07,422.37,242.21,140.14,514.25,146.23
2025-01-08,424.56,242.7,140.11,524.52,142.27
2025-01-10,418.95,236.85,135.91,520.69,142.06
2025-01-13,417.19,234.4,133.23,541.14,144.47
2025-01-14,415.67,233.28,131.76,543.74,144.75
2025-01-15,426.31,237.87,136.24,543.42,144.97
2025-01-16,424.58,228.26,133.57,510.59,147.77
2025-01-17,429.03,229.98,137.71,509.76,147.03
2025-01-21,428.5,222.64,140.83,524.99,148.15
2025-01-22,446.2,223.83,147.07,519.72,145.27
2025-01-23,446.71,223.66,147.22,529.77,146.64
2025-01-24,444.06,222.78,142.62,532.51,146.82
2025-01-27,434.56,229.86,118.42,543.52,152.89
2025-01-28,447.2,238.26,128.99,542.48,150.38
2025-01-29,442.33,239.36,123.7,538.1,151.15
2025-01-30,414.99,237.59,124.65,545.57,152.87
2025-01-31,415.06,236.0,120.07,542.49,152.15
2025-02-03,410.92,228.01,116.66,548.18,151.87
2025-02-04,412.37,232.8,118.65,545.45,153.49
2025-02-05,413.29,232.47,124.83,539.81,154.69
2025-02-06,415.82,233.22,128.68,530.04,153.51
2025-02-07,409.75,227.63,129.84,527.03,153.12
2025-02-10,412.22,227.65,133.57,533.37,154.24
2025-02-11,411.44,232.62,132.8,533.92,156.13
2025-02-12,409.04,236.87,131.14,527.4,155.26
2025-02-13,410.54,241.53,135.29,531.18,157.25
2025-02-14,408.43,244.6,138.85,523.51,156.15
2025-02-18,409.64,244.47,139.4,500.73,154.99
2025-02-19,414.77,244.87,139.23,511.04,157.89
2025-02-20,416.13,245.83,140.11,502.42,159.68
2025-02-21,408.21,245.55,134.43,466.42,162.3
2025-02-24,404.0,247.1,130.28,461.52,163.74
2025-02-25,397.9,247.04,126.63,470.38,166.09
2025-02-26,399.73,240.36,131.28,463.59,163.08
2025-02-27,392.53,237.3,120.15,468.56,163.73
2025-02-28,396.99,241.84,124.92,474.96,165.02
2025-03-03,388.49,238.03,114.06,467.05,167.28
2025-03-04,388.61,235.93,115.99,474.61,165.42
2025-03-05,401.02,235.74,117.3,475.98,165.12
2025-03-06,396.89,235.33,110.57,487.72,165.83
2025-03-07,393.31,239.07,112.69,493.48,166.69
2025-03-10,380.16,227.48,106.98,480.22,167.7
2025-03-11,380.45,220.84,108.76,486.04,165.86
2025-03-12,383.27,216.98,115.74,481.11,162.85
2025-03-13,378.77,209.68,115.58,481.52,162.99
2025-03-14,388.56,213.49,121.67,488.65,162.81
2025-03-17,388.7,214.0,119.53,499.02,162.84
2025-03-18,383.52,212.69,115.43,503.8,164.25
2025-03-19,387.82,215.24,117.52,503.2,162.99
2025-03-20,386.84,214.1,118.53,511.3,163.02
2025-03-21,391.26,218.27,117.7,516.85,163.63
2025-03-24,393.08,220.73,121.41,516.5,163.29
2025-03-25,395.16,223.75,120.69,513.43,161.02
2025-03-26,389.97,221.53,113.76,518.2,161.72
2025-03-27,390.58,223.85,111.43,515.72,163.13
2025-03-28,378.8,217.9,109.67,516.04,163.71
2025-03-31,375.39,222.13,108.38,523.75,165.84
2025-04-01,382.19,223.19,110.15,523.12,153.25
2025-04-02,382.14,223.89,110.42,523.2,155.36
2025-04-03,373.11,203.19,101.8,540.44,159.82
2025-04-04,359.84,188.38,94.31,525.05,153.24
2025-04-07,357.86,181.46,97.64,524.7,150.62
2025-04-08,354.56,172.42,96.3,553.08,150.0
2025-04-09,390.49,198.85,114.33,578.5,150.97
2025-04-10,381.35,190.42,107.57,594.4,148.69
2025-04-11,388.45,198.15,110.93,599.47,151.73
2025-04-14,387.81,202.52,110.71,587.06,154.36
2025-04-15,385.73,202.14,112.2,583.59,153.62
2025-04-16,371.61,194.27,104.49,585.04,153.91
2025-04-17,367.78,196.98,101.49,454.11,157.47
2025-04-21,359.12,193.16,96.91,425.33,156.92
2025-04-22,366.82,199.74,98.89,427.18,157.75
2025-04-23,374.39,204.6,102.71,427.96,155.38
2025-04-24,387.3,208.37,106.43,424.25,154.93
2025-04-25,391.85,209.28,111.01,418.64,154.58
2025-04-28,391.16,210.14,108.73,420.0,155.35
2025-04-29,394.04,211.21,109.02,409.23,155.91
2025-04-30,395.26,212.5,108.92,411.44,156.31
2025-05-01,425.4,213.32,111.61,400.68,154.46
2025-05-02,435.28,205.35,114.5,399.92,156.12
2025-05-05,436.17,198.89,113.82,404.81,155.0
2025-05-06,433.31,198.51,113.54,394.51,154.47
2025-05-07,433.35,196.25,117.06,391.06,157.3
2025-05-08,438.17,197.49,117.37,385.55,155.66
2025-05-09,438.73,198.53,116.65,380.64,154.22
2025-05-12,449.26,210.79,123.0,378.75,154.14
2025-05-13,449.14,212.93,129.93,311.38,148.44
2025-05-14,452.94,212.33,135.34,308.01,146.36
2025-05-15,453.13,211.45,134.83,274.35,149.61
2025-05-16,454.27,211.26,135.4,291.91,151.33
